title,artist,billboard_rank,tempo_from_public_dataset,danceability_from_public_dataset,acousticness,speechiness,duration_minutes,average_loudness,dynamic_complexity,danceable_probability,happy_probability,sad_probability,relaxed_probability,party_probability
Lose Control,Teddy Swims,1,123.935,0.598,0.129,0.0415,2.80645,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
A Bar Song (Tipsy),Shaboozey,2,89.993,0.506,0.0666,0.0324,3.4339833333333334,0.264016389847,5.37405109406,0.99503326416,0.307444959879,0.439626008272,0.655651390553,0.849270701408
Beautiful Things,Benson Boone,3,97.95,0.715,0.417,0.0484,3.692,0.903241872787,2.12966561317,0.999537229538,0.613036990166,0.279316276312,0.809688508511,0.0103386901319
I Had Some Help,Post Malone,4,89.96,0.755,0.533,0.0575,2.626,0.799683094025,5.64329767227,0.799676299095,0.124072141945,0.632427334785,0.887835621834,0.323227316141
Lovin on Me,Jack Harlow,5,145.062,0.923,0.017,0.245,2.3290166666666665,0.963362574577,2.6114487648,0.999999880791,0.21921479702,0.509636461735,0.817196428776,0.915407299995
Not Like Us,Kendrick Lamar,6,96.924,0.698,0.0605,0.0597,3.869783333333333,0.734312474728,5.61559009552,0.988387525082,0.369450896978,0.331308811903,0.737974047661,0.721018135548
Espresso,Sabrina Carpenter,7,169.775,0.522,0.0291,0.103,3.23265,0.766495466232,4.57856893539,0.836672306061,0.5,0.535766303539,0.975322842598,0.124947212636
Million Dollar Baby,Tommy Richman,8,133.017,0.653,0.0328,0.0867,3.0715833333333333,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
I Remember Everything,Zach Bryan,9,175.212,0.369,0.555,0.04,3.8002166666666666,0.742222487926,5.54836368561,0.722457766533,0.227331414819,0.708696901798,0.737470149994,0.140534386039
Too Sweet,Hozier,10,89.993,0.506,0.0666,0.0324,3.4339833333333334,0.264016389847,5.37405109406,0.99503326416,0.307444959879,0.439626008272,0.655651390553,0.849270701408
Stick Season,Noah Kahan,11,117.913,0.662,0.782,0.0682,3.0391166666666667,0.742222487926,5.54836368561,0.722457766533,0.227331414819,0.708696901798,0.737470149994,0.140534386039
Cruel Summer,Taylor Swift,12,97.008,0.637,0.13,0.0519,3.3448333333333333,0.90171790123,3.33709359169,0.999999880791,0.167481735349,0.269092738628,0.645422518253,0.411385983229
Greedy,Tate McRae,13,124.148,0.667,0.785,0.05,2.8211,0.742222487926,5.54836368561,0.722457766533,0.227331414819,0.708696901798,0.737470149994,0.140534386039
Like That,Future,14,97.008,0.809,0.392,0.0735,3.00725,0.941546916962,3.26687526703,0.980263292789,0.614733338356,0.510960519314,0.889174699783,0.441952168941
Birds of a Feather,Billie Eilish,15,135.128,0.701,0.328,0.375,3.2348,0.886195898056,4.63921928406,0.999901115894,0.0331370308995,0.693571269512,0.815766751766,0.0806108564138
Please Please Please,Sabrina Carpenter,16,169.775,0.522,0.0291,0.103,3.23265,0.766495466232,4.57856893539,0.836672306061,0.5,0.535766303539,0.975322842598,0.124947212636
Agora Hills,Doja Cat,17,130.041,0.664,0.304,0.0707,3.509333333333333,0.797360062599,4.62108564377,0.236697301269,0.3598267138,0.287087887526,0.821495950222,0.588645398617
"Good Luck, Babe!",Chappell Roan,18,125.927,0.701,0.0721,0.051,2.459966666666667,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Saturn,SZA,19,143.008,0.559,0.141,0.132,3.3633333333333333,0.766495466232,4.57856893539,0.836672306061,0.5,0.535766303539,0.975322842598,0.124947212636
Snooze,SZA,20,143.008,0.559,0.141,0.132,3.3633333333333333,0.766495466232,4.57856893539,0.836672306061,0.5,0.535766303539,0.975322842598,0.124947212636
Paint the Town Red,Doja Cat,21,130.041,0.664,0.304,0.0707,3.509333333333333,0.797360062599,4.62108564377,0.236697301269,0.3598267138,0.287087887526,0.821495950222,0.588645398617
Fortnight,Taylor Swift,22,96.985,0.733,0.258,0.08,3.373266666666667,0.903241872787,2.12966561317,0.999537229538,0.613036990166,0.279316276312,0.809688508511,0.0103386901319
Fast Car,Luke Combs,23,151.964,0.487,0.191,0.0253,3.87555,0.861799716949,3.4676668644,0.996536314487,0.0742097347975,0.309949755669,0.538872301579,0.147574350238
Water,Tyla,24,135.452,0.303,0.969,0.0336,2.404033333333333,0.742222487926,5.54836368561,0.722457766533,0.227331414819,0.708696901798,0.737470149994,0.140534386039
Feather,Sabrina Carpenter,25,169.775,0.522,0.0291,0.103,3.23265,0.766495466232,4.57856893539,0.836672306061,0.5,0.535766303539,0.975322842598,0.124947212636
We Can't Be Friends (Wait for Your Love),Ariana Grande,26,121.993,0.699,0.04,0.0594,3.432,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Austin,Dasha,27,119.914,0.605,0.188,0.0278,3.838883333333333,0.734312474728,5.61559009552,0.988387525082,0.369450896978,0.331308811903,0.737974047661,0.721018135548
Last Night,Morgan Wallen,28,196.0,0.505,0.373,0.0318,2.9753333333333334,0.766495466232,4.57856893539,0.836672306061,0.5,0.535766303539,0.975322842598,0.124947212636
Cowgirls,Morgan Wallen,29,119.706,0.731,0.252,0.0336,2.624633333333333,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Pink Skies,Zach Bryan,30,175.212,0.369,0.555,0.04,3.8002166666666666,0.742222487926,5.54836368561,0.722457766533,0.227331414819,0.708696901798,0.737470149994,0.140534386039
Thinkin' Bout Me,Morgan Wallen,31,196.0,0.505,0.373,0.0318,2.9753333333333334,0.766495466232,4.57856893539,0.836672306061,0.5,0.535766303539,0.975322842598,0.124947212636
Texas Hold 'Em,Beyonce,32,114.942,0.693,0.0581,0.0795,4.6380333333333335,0.963362574577,2.6114487648,0.999999880791,0.21921479702,0.509636461735,0.817196428776,0.915407299995
Is It Over Now?,Taylor Swift,33,96.985,0.733,0.258,0.08,3.373266666666667,0.903241872787,2.12966561317,0.999537229538,0.613036990166,0.279316276312,0.809688508511,0.0103386901319
Miles on It,Marshmello,34,100.015,0.687,0.191,0.0452,3.5715,0.903241872787,2.12966561317,0.999537229538,0.613036990166,0.279316276312,0.809688508511,0.0103386901319
I Can Do It with a Broken Heart,Taylor Swift,35,135.917,0.615,0.106,0.0386,3.940216666666666,0.766495466232,4.57856893539,0.836672306061,0.5,0.535766303539,0.975322842598,0.124947212636
Wild Ones,Jessie Murph,36,83.903,0.511,0.349,0.2,3.9972666666666665,0.264016389847,5.37405109406,0.99503326416,0.307444959879,0.439626008272,0.655651390553,0.849270701408
Ain't No Love in Oklahoma,Luke Combs,37,102.025,0.608,0.0226,0.0277,3.74045,0.264016389847,5.37405109406,0.99503326416,0.307444959879,0.439626008272,0.655651390553,0.849270701408
Carnival,Kanye West,38,99.945,0.738,0.695,0.0352,2.909333333333333,0.941546916962,3.26687526703,0.980263292789,0.614733338356,0.510960519314,0.889174699783,0.441952168941
Houdini,Eminem,39,90.09,0.748,0.142,0.516,3.68355,0.600928843021,8.1179265976,0.998786330223,0.11788161099,0.873338162899,0.911703765392,0.696237802505
Wanna Be,GloRilla,40,87.194,0.536,0.75,0.0254,3.749116666666666,0.941546916962,3.26687526703,0.980263292789,0.614733338356,0.510960519314,0.889174699783,0.441952168941
Slow It Down,Benson Boone,41,89.391,0.56,0.555,0.321,2.8966666666666665,0.832326889038,7.6774969101,0.454260736704,0.0454634390771,0.309052497149,0.98367202282,0.629595398903
